Day,Hour,Title,Category,Prompt
3,3,Grab แดกค่า fee 25% แต่ก็ไม่มี zero-fee,Marketplace,"ด่า delivery platform, tone ตรงไปตรงมา"
3,4,ข่าว: สตาร์ทอัพใหม่ เก็บค่า fee แพงอีกแล้ว,Meme,"comment เกาะข่าว, tone เสียดสี"
3,5,เสือก! ร้านค้าได้เต็ม ผู้ใช้ได้ถูก,News/Trend,"Call to action, zero-fee branding"
3,6,ลงทุนเกินควร = กำไรเกินควร = เสือก!,Branding/CTA,"Jibe investor, punchline"
3,7,ค่าอาหาร 100 แต่คุณกิน 75? แม่งอย่าให้ fee กิน,Anti-Investor,"Compare cost, tone เจ็บแสบ"
3,8,CEO บอก user สำคัญ แต่ dashboard กินกำไรเอง,Marketplace,Satire CEO / corporate greed
3,9,X platform แม่งคิดค่าธรรมเนียมสูง แค่คิดก็เสือกแล้ว,Meme,"Direct, shareable"
3,10,ร้านค้าขายดี = user happy = investorเหงื่อตก,News/Trend,"Punchline, zero-fee pride"
3,11,ข่าว: Delivery fee พุ่ง 30% คนไทยสะเทือน,Branding/CTA,"Comment เกาะกระแส, tone เสียดสี"
3,12,ค่า fee แม่งสูงเกินมนุษย์!,Anti-Investor,"ด่า investor/แพลตฟอร์มที่แดกกำไรเกินควร, tone เจ็บแสบ"
3,13,ร้านค้าขาย 100 ได้แค่ 80 แม่งยังคิดว่าโอเค?,Marketplace,"เปรียบเทียบค่าธรรมเนียมสูงกับร้านค้า, tone ฮา/จิกกัด"
3,14,คนไทยลำบาก ขณะที่ CEO นอนนับเงิน,Meme,"เสียดสีความเหลื่อมล้ำ, punchline shareable"
3,15,Grab แดกค่า fee 25% แต่ก็ไม่มี zero-fee,News/Trend,"ด่า delivery platform, tone ตรงไปตรงมา"
3,16,ข่าว: สตาร์ทอัพใหม่ เก็บค่า fee แพงอีกแล้ว,Branding/CTA,"comment เกาะข่าว, tone เสียดสี"
3,17,เสือก! ร้านค้าได้เต็ม ผู้ใช้ได้ถูก,Anti-Investor,"Call to action, zero-fee branding"
3,18,ลงทุนเกินควร = กำไรเกินควร = เสือก!,Marketplace,"Jibe investor, punchline"
3,19,ค่าอาหาร 100 แต่คุณกิน 75? แม่งอย่าให้ fee กิน,Meme,"Compare cost, tone เจ็บแสบ"
3,20,CEO บอก user สำคัญ แต่ dashboard กินกำไรเอง,News/Trend,Satire CEO / corporate greed
3,21,X platform แม่งคิดค่าธรรมเนียมสูง แค่คิดก็เสือกแล้ว,Branding/CTA,"Direct, shareable"
3,22,ร้านค้าขายดี = user happy = investorเหงื่อตก,Anti-Investor,"Punchline, zero-fee pride"
3,23,ข่าว: Delivery fee พุ่ง 30% คนไทยสะเทือน,Marketplace,"Comment เกาะกระแส, tone เสียดสี"
4,0,ค่า fee แม่งสูงเกินมนุษย์!,Meme,"ด่า investor/แพลตฟอร์มที่แดกกำไรเกินควร, tone เจ็บแสบ"
4,1,ร้านค้าขาย 100 ได้แค่ 80 แม่งยังคิดว่าโอเค?,News/Trend,"เปรียบเทียบค่าธรรมเนียมสูงกับร้านค้า, tone ฮา/จิกกัด"
4,2,คนไทยลำบาก ขณะที่ CEO นอนนับเงิน,Branding/CTA,"เสียดสีความเหลื่อมล้ำ, punchline shareable"
4,3,Grab แดกค่า fee 25% แต่ก็ไม่มี zero-fee,Anti-Investor,"ด่า delivery platform, tone ตรงไปตรงมา"
4,4,ข่าว: สตาร์ทอัพใหม่ เก็บค่า fee แพงอีกแล้ว,Marketplace,"comment เกาะข่าว, tone เสียดสี"
4,5,เสือก! ร้านค้าได้เต็ม ผู้ใช้ได้ถูก,Meme,"Call to action, zero-fee branding"
4,6,ลงทุนเกินควร = กำไรเกินควร = เสือก!,News/Trend,"Jibe investor, punchline"
4,7,ค่าอาหาร 100 แต่คุณกิน 75? แม่งอย่าให้ fee กิน,Branding/CTA,"Compare cost, tone เจ็บแสบ"
4,8,CEO บอก user สำคัญ แต่ dashboard กินกำไรเอง,Anti-Investor,Satire CEO / corporate greed
4,9,X platform แม่งคิดค่าธรรมเนียมสูง แค่คิดก็เสือกแล้ว,Marketplace,"Direct, shareable"
4,10,ร้านค้าขายดี = user happy = investorเหงื่อตก,Meme,"Punchline, zero-fee pride"
4,11,ข่าว: Delivery fee พุ่ง 30% คนไทยสะเทือน,News/Trend,"Comment เกาะกระแส, tone เสียดสี"
4,12,ค่า fee แม่งสูงเกินมนุษย์!,Branding/CTA,"ด่า investor/แพลตฟอร์มที่แดกกำไรเกินควร, tone เจ็บแสบ"
4,13,ร้านค้าขาย 100 ได้แค่ 80 แม่งยังคิดว่าโอเค?,Anti-Investor,"เปรียบเทียบค่าธรรมเนียมสูงกับร้านค้า, tone ฮา/จิกกัด"
4,14,คนไทยลำบาก ขณะที่ CEO นอนนับเงิน,Marketplace,"เสียดสีความเหลื่อมล้ำ, punchline shareable"
4,15,Grab แดกค่า fee 25% แต่ก็ไม่มี zero-fee,Meme,"ด่า delivery platform, tone ตรงไปตรงมา"
4,16,ข่าว: สตาร์ทอัพใหม่ เก็บค่า fee แพงอีกแล้ว,News/Trend,"comment เกาะข่าว, tone เสียดสี"
4,17,เสือก! ร้านค้าได้เต็ม ผู้ใช้ได้ถูก,Branding/CTA,"Call to action, zero-fee branding"
4,18,ลงทุนเกินควร = กำไรเกินควร = เสือก!,Anti-Investor,"Jibe investor, punchline"
4,19,ค่าอาหาร 100 แต่คุณกิน 75? แม่งอย่าให้ fee กิน,Marketplace,"Compare cost, tone เจ็บแสบ"
4,20,CEO บอก user สำคัญ แต่ dashboard กินกำไรเอง,Meme,Satire CEO / corporate greed
4,21,X platform แม่งคิดค่าธรรมเนียมสูง แค่คิดก็เสือกแล้ว,News/Trend,"Direct, shareable"
4,22,ร้านค้าขายดี = user happy = investorเหงื่อตก,Branding/CTA,"Punchline, zero-fee pride"
4,23,ข่าว: Delivery fee พุ่ง 30% คนไทยสะเทือน,Anti-Investor,"Comment เกาะกระแส, tone เสียดสี"
5,0,ค่า fee แม่งสูงเกินมนุษย์!,Marketplace,"ด่า investor/แพลตฟอร์มที่แดกกำไรเกินควร, tone เจ็บแสบ"
5,1,ร้านค้าขาย 100 ได้แค่ 80 แม่งยังคิดว่าโอเค?,Meme,"เปรียบเทียบค่าธรรมเนียมสูงกับร้านค้า, tone ฮา/จิกกัด"
5,2,คนไทยลำบาก ขณะที่ CEO นอนนับเงิน,News/Trend,"เสียดสีความเหลื่อมล้ำ, punchline shareable"
5,3,Grab แดกค่า fee 25% แต่ก็ไม่มี zero-fee,Branding/CTA,"ด่า delivery platform, tone ตรงไปตรงมา"
5,4,ข่าว: สตาร์ทอัพใหม่ เก็บค่า fee แพงอีกแล้ว,Anti-Investor,"comment เกาะข่าว, tone เสียดสี"
5,5,เสือก! ร้านค้าได้เต็ม ผู้ใช้ได้ถูก,Marketplace,"Call to action, zero-fee branding"
5,6,ลงทุนเกินควร = กำไรเกินควร = เสือก!,Meme,"Jibe investor, punchline"
5,7,ค่าอาหาร 100 แต่คุณกิน 75? แม่งอย่าให้ fee กิน,News/Trend,"Compare cost, tone เจ็บแสบ"
5,8,CEO บอก user สำคัญ แต่ dashboard กินกำไรเอง,Branding/CTA,Satire CEO / corporate greed
5,9,X platform แม่งคิดค่าธรรมเนียมสูง แค่คิดก็เสือกแล้ว,Anti-Investor,"Direct, shareable"
5,10,ร้านค้าขายดี = user happy = investorเหงื่อตก,Marketplace,"Punchline, zero-fee pride"
5,11,ข่าว: Delivery fee พุ่ง 30% คนไทยสะเทือน,Meme,"Comment เกาะกระแส, tone เสียดสี"
5,12,ค่า fee แม่งสูงเกินมนุษย์!,News/Trend,"ด่า investor/แพลตฟอร์มที่แดกกำไรเกินควร, tone เจ็บแสบ"
5,13,ร้านค้าขาย 100 ได้แค่ 80 แม่งยังคิดว่าโอเค?,Branding/CTA,"เปรียบเทียบค่าธรรมเนียมสูงกับร้านค้า, tone ฮา/จิกกัด"
5,14,คนไทยลำบาก ขณะที่ CEO นอนนับเงิน,Anti-Investor,"เสียดสีความเหลื่อมล้ำ, punchline shareable"
5,15,Grab แดกค่า fee 25% แต่ก็ไม่มี zero-fee,Marketplace,"ด่า delivery platform, tone ตรงไปตรงมา"
5,16,ข่าว: สตาร์ทอัพใหม่ เก็บค่า fee แพงอีกแล้ว,Meme,"comment เกาะข่าว, tone เสียดสี"
5,17,เสือก! ร้านค้าได้เต็ม ผู้ใช้ได้ถูก,News/Trend,"Call to action, zero-fee branding"
5,18,ลงทุนเกินควร = กำไรเกินควร = เสือก!,Branding/CTA,"Jibe investor, punchline"
5,19,ค่าอาหาร 100 แต่คุณกิน 75? แม่งอย่าให้ fee กิน,Anti-Investor,"Compare cost, tone เจ็บแสบ"
5,20,CEO บอก user สำคัญ แต่ dashboard กินกำไรเอง,Marketplace,Satire CEO / corporate greed
5,21,X platform แม่งคิดค่าธรรมเนียมสูง แค่คิดก็เสือกแล้ว,Meme,"Direct, shareable"
5,22,ร้านค้าขายดี = user happy = investorเหงื่อตก,News/Trend,"Punchline, zero-fee pride"
5,23,ข่าว: Delivery fee พุ่ง 30% คนไทยสะเทือน,Branding/CTA,"Comment เกาะกระแส, tone เสียดสี"
6,0,ค่า fee แม่งสูงเกินมนุษย์!,Anti-Investor,"ด่า investor/แพลตฟอร์มที่แดกกำไรเกินควร, tone เจ็บแสบ"
6,1,ร้านค้าขาย 100 ได้แค่ 80 แม่งยังคิดว่าโอเค?,Marketplace,"เปรียบเทียบค่าธรรมเนียมสูงกับร้านค้า, tone ฮา/จิกกัด"
6,2,คนไทยลำบาก ขณะที่ CEO นอนนับเงิน,Meme,"เสียดสีความเหลื่อมล้ำ, punchline shareable"
6,3,Grab แดกค่า fee 25% แต่ก็ไม่มี zero-fee,News/Trend,"ด่า delivery platform, tone ตรงไปตรงมา"
6,4,ข่าว: สตาร์ทอัพใหม่ เก็บค่า fee แพงอีกแล้ว,Branding/CTA,"comment เกาะข่าว, tone เสียดสี"
6,5,เสือก! ร้านค้าได้เต็ม ผู้ใช้ได้ถูก,Anti-Investor,"Call to action, zero-fee branding"
6,6,ลงทุนเกินควร = กำไรเกินควร = เสือก!,Marketplace,"Jibe investor, punchline"
6,7,ค่าอาหาร 100 แต่คุณกิน 75? แม่งอย่าให้ fee กิน,Meme,"Compare cost, tone เจ็บแสบ"
6,8,CEO บอก user สำคัญ แต่ dashboard กินกำไรเอง,News/Trend,Satire CEO / corporate greed
6,9,X platform แม่งคิดค่าธรรมเนียมสูง แค่คิดก็เสือกแล้ว,Branding/CTA,"Direct, shareable"
6,10,ร้านค้าขายดี = user happy = investorเหงื่อตก,Anti-Investor,"Punchline, zero-fee pride"
6,11,ข่าว: Delivery fee พุ่ง 30% คนไทยสะเทือน,Marketplace,"Comment เกาะกระแส, tone เสียดสี"
6,12,ค่า fee แม่งสูงเกินมนุษย์!,Meme,"ด่า investor/แพลตฟอร์มที่แดกกำไรเกินควร, tone เจ็บแสบ"
6,13,ร้านค้าขาย 100 ได้แค่ 80 แม่งยังคิดว่าโอเค?,News/Trend,"เปรียบเทียบค่าธรรมเนียมสูงกับร้านค้า, tone ฮา/จิกกัด"
6,14,คนไทยลำบาก ขณะที่ CEO นอนนับเงิน,Branding/CTA,"เสียดสีความเหลื่อมล้ำ, punchline shareable"
6,15,Grab แดกค่า fee 25% แต่ก็ไม่มี zero-fee,Anti-Investor,"ด่า delivery platform, tone ตรงไปตรงมา"
6,16,ข่าว: สตาร์ทอัพใหม่ เก็บค่า fee แพงอีกแล้ว,Marketplace,"comment เกาะข่าว, tone เสียดสี"
6,17,เสือก! ร้านค้าได้เต็ม ผู้ใช้ได้ถูก,Meme,"Call to action, zero-fee branding"
6,18,ลงทุนเกินควร = กำไรเกินควร = เสือก!,News/Trend,"Jibe investor, punchline"
6,19,ค่าอาหาร 100 แต่คุณกิน 75? แม่งอย่าให้ fee กิน,Branding/CTA,"Compare cost, tone เจ็บแสบ"
6,20,CEO บอก user สำคัญ แต่ dashboard กินกำไรเอง,Anti-Investor,Satire CEO / corporate greed
6,21,X platform แม่งคิดค่าธรรมเนียมสูง แค่คิดก็เสือกแล้ว,Marketplace,"Direct, shareable"
6,22,ร้านค้าขายดี = user happy = investorเหงื่อตก,Meme,"Punchline, zero-fee pride"
6,23,ข่าว: Delivery fee พุ่ง 30% คนไทยสะเทือน,News/Trend,"Comment เกาะกระแส, tone เสียดสี"
7,0,ค่า fee แม่งสูงเกินมนุษย์!,Branding/CTA,"ด่า investor/แพลตฟอร์มที่แดกกำไรเกินควร, tone เจ็บแสบ"
7,1,ร้านค้าขาย 100 ได้แค่ 80 แม่งยังคิดว่าโอเค?,Anti-Investor,"เปรียบเทียบค่าธรรมเนียมสูงกับร้านค้า, tone ฮา/จิกกัด"
7,2,คนไทยลำบาก ขณะที่ CEO นอนนับเงิน,Marketplace,"เสียดสีความเหลื่อมล้ำ, punchline shareable"
7,3,Grab แดกค่า fee 25% แต่ก็ไม่มี zero-fee,Meme,"ด่า delivery platform, tone ตรงไปตรงมา"
7,4,ข่าว: สตาร์ทอัพใหม่ เก็บค่า fee แพงอีกแล้ว,News/Trend,"comment เกาะข่าว, tone เสียดสี"
7,5,เสือก! ร้านค้าได้เต็ม ผู้ใช้ได้ถูก,Branding/CTA,"Call to action, zero-fee branding"
7,6,ลงทุนเกินควร = กำไรเกินควร = เสือก!,Anti-Investor,"Jibe investor, punchline"
7,7,ค่าอาหาร 100 แต่คุณกิน 75? แม่งอย่าให้ fee กิน,Marketplace,"Compare cost, tone เจ็บแสบ"
7,8,CEO บอก user สำคัญ แต่ dashboard กินกำไรเอง,Meme,Satire CEO / corporate greed
7,9,X platform แม่งคิดค่าธรรมเนียมสูง แค่คิดก็เสือกแล้ว,News/Trend,"Direct, shareable"
7,10,ร้านค้าขายดี = user happy = investorเหงื่อตก,Branding/CTA,"Punchline, zero-fee pride"
7,11,ข่าว: Delivery fee พุ่ง 30% คนไทยสะเทือน,Anti-Investor,"Comment เกาะกระแส, tone เสียดสี"
7,12,ค่า fee แม่งสูงเกินมนุษย์!,Marketplace,"ด่า investor/แพลตฟอร์มที่แดกกำไรเกินควร, tone เจ็บแสบ"
7,13,ร้านค้าขาย 100 ได้แค่ 80 แม่งยังคิดว่าโอเค?,Meme,"เปรียบเทียบค่าธรรมเนียมสูงกับร้านค้า, tone ฮา/จิกกัด"
7,14,คนไทยลำบาก ขณะที่ CEO นอนนับเงิน,News/Trend,"เสียดสีความเหลื่อมล้ำ, punchline shareable"
7,15,Grab แดกค่า fee 25% แต่ก็ไม่มี zero-fee,Branding/CTA,"ด่า delivery platform, tone ตรงไปตรงมา"
7,16,ข่าว: สตาร์ทอัพใหม่ เก็บค่า fee แพงอีกแล้ว,Anti-Investor,"comment เกาะข่าว, tone เสียดสี"
7,17,เสือก! ร้านค้าได้เต็ม ผู้ใช้ได้ถูก,Marketplace,"Call to action, zero-fee branding"
7,18,ลงทุนเกินควร = กำไรเกินควร = เสือก!,Meme,"Jibe investor, punchline"
7,19,ค่าอาหาร 100 แต่คุณกิน 75? แม่งอย่าให้ fee กิน,News/Trend,"Compare cost, tone เจ็บแสบ"
7,20,CEO บอก user สำคัญ แต่ dashboard กินกำไรเอง,Branding/CTA,Satire CEO / corporate greed
7,21,X platform แม่งคิดค่าธรรมเนียมสูง แค่คิดก็เสือกแล้ว,Anti-Investor,"Direct, shareable"
7,22,ร้านค้าขายดี = user happy = investorเหงื่อตก,Marketplace,"Punchline, zero-fee pride"
7,23,ข่าว: Delivery fee พุ่ง 30% คนไทยสะเทือน,Meme,"Comment เกาะกระแส, tone เสียดสี"
8,0,ค่า fee แม่งสูงเกินมนุษย์!,News/Trend,"ด่า investor/แพลตฟอร์มที่แดกกำไรเกินควร, tone เจ็บแสบ"
8,1,ร้านค้าขาย 100 ได้แค่ 80 แม่งยังคิดว่าโอเค?,Branding/CTA,"เปรียบเทียบค่าธรรมเนียมสูงกับร้านค้า, tone ฮา/จิกกัด"
8,2,คนไทยลำบาก ขณะที่ CEO นอนนับเงิน,Anti-Investor,"เสียดสีความเหลื่อมล้ำ, punchline shareable"
8,3,Grab แดกค่า fee 25% แต่ก็ไม่มี zero-fee,Marketplace,"ด่า delivery platform, tone ตรงไปตรงมา"
8,4,ข่าว: สตาร์ทอัพใหม่ เก็บค่า fee แพงอีกแล้ว,Meme,"comment เกาะข่าว, tone เสียดสี"
8,5,เสือก! ร้านค้าได้เต็ม ผู้ใช้ได้ถูก,News/Trend,"Call to action, zero-fee branding"
8,6,ลงทุนเกินควร = กำไรเกินควร = เสือก!,Branding/CTA,"Jibe investor, punchline"
8,7,ค่าอาหาร 100 แต่คุณกิน 75? แม่งอย่าให้ fee กิน,Anti-Investor,"Compare cost, tone เจ็บแสบ"
8,8,CEO บอก user สำคัญ แต่ dashboard กินกำไรเอง,Marketplace,Satire CEO / corporate greed
8,9,X platform แม่งคิดค่าธรรมเนียมสูง แค่คิดก็เสือกแล้ว,Meme,"Direct, shareable"
8,10,ร้านค้าขายดี = user happy = investorเหงื่อตก,News/Trend,"Punchline, zero-fee pride"
8,11,ข่าว: Delivery fee พุ่ง 30% คนไทยสะเทือน,Branding/CTA,"Comment เกาะกระแส, tone เสียดสี"
8,12,ค่า fee แม่งสูงเกินมนุษย์!,Anti-Investor,"ด่า investor/แพลตฟอร์มที่แดกกำไรเกินควร, tone เจ็บแสบ"
8,13,ร้านค้าขาย 100 ได้แค่ 80 แม่งยังคิดว่าโอเค?,Marketplace,"เปรียบเทียบค่าธรรมเนียมสูงกับร้านค้า, tone ฮา/จิกกัด"
8,14,คนไทยลำบาก ขณะที่ CEO นอนนับเงิน,Meme,"เสียดสีความเหลื่อมล้ำ, punchline shareable"
8,15,Grab แดกค่า fee 25% แต่ก็ไม่มี zero-fee,News/Trend,"ด่า delivery platform, tone ตรงไปตรงมา"
8,16,ข่าว: สตาร์ทอัพใหม่ เก็บค่า fee แพงอีกแล้ว,Branding/CTA,"comment เกาะข่าว, tone เสียดสี"
8,17,เสือก! ร้านค้าได้เต็ม ผู้ใช้ได้ถูก,Anti-Investor,"Call to action, zero-fee branding"
8,18,ลงทุนเกินควร = กำไรเกินควร = เสือก!,Marketplace,"Jibe investor, punchline"
8,19,ค่าอาหาร 100 แต่คุณกิน 75? แม่งอย่าให้ fee กิน,Meme,"Compare cost, tone เจ็บแสบ"
8,20,CEO บอก user สำคัญ แต่ dashboard กินกำไรเอง,News/Trend,Satire CEO / corporate greed
8,21,X platform แม่งคิดค่าธรรมเนียมสูง แค่คิดก็เสือกแล้ว,Branding/CTA,"Direct, shareable"
8,22,ร้านค้าขายดี = user happy = investorเหงื่อตก,Anti-Investor,"Punchline, zero-fee pride"
8,23,ข่าว: Delivery fee พุ่ง 30% คนไทยสะเทือน,Marketplace,"Comment เกาะกระแส, tone เสียดสี"
9,0,ค่า fee แม่งสูงเกินมนุษย์!,Meme,"ด่า investor/แพลตฟอร์มที่แดกกำไรเกินควร, tone เจ็บแสบ"
9,1,ร้านค้าขาย 100 ได้แค่ 80 แม่งยังคิดว่าโอเค?,News/Trend,"เปรียบเทียบค่าธรรมเนียมสูงกับร้านค้า, tone ฮา/จิกกัด"
9,2,คนไทยลำบาก ขณะที่ CEO นอนนับเงิน,Branding/CTA,"เสียดสีความเหลื่อมล้ำ, punchline shareable"
9,3,Grab แดกค่า fee 25% แต่ก็ไม่มี zero-fee,Anti-Investor,"ด่า delivery platform, tone ตรงไปตรงมา"
9,4,ข่าว: สตาร์ทอัพใหม่ เก็บค่า fee แพงอีกแล้ว,Marketplace,"comment เกาะข่าว, tone เสียดสี"
9,5,เสือก! ร้านค้าได้เต็ม ผู้ใช้ได้ถูก,Meme,"Call to action, zero-fee branding"
9,6,ลงทุนเกินควร = กำไรเกินควร = เสือก!,News/Trend,"Jibe investor, punchline"
9,7,ค่าอาหาร 100 แต่คุณกิน 75? แม่งอย่าให้ fee กิน,Branding/CTA,"Compare cost, tone เจ็บแสบ"
9,8,CEO บอก user สำคัญ แต่ dashboard กินกำไรเอง,Anti-Investor,Satire CEO / corporate greed
9,9,X platform แม่งคิดค่าธรรมเนียมสูง แค่คิดก็เสือกแล้ว,Marketplace,"Direct, shareable"
9,10,ร้านค้าขายดี = user happy = investorเหงื่อตก,Meme,"Punchline, zero-fee pride"
9,11,ข่าว: Delivery fee พุ่ง 30% คนไทยสะเทือน,News/Trend,"Comment เกาะกระแส, tone เสียดสี"
9,12,ค่า fee แม่งสูงเกินมนุษย์!,Branding/CTA,"ด่า investor/แพลตฟอร์มที่แดกกำไรเกินควร, tone เจ็บแสบ"
